,state,act2018_participation,act2018_composite,act2018_english,act2018_math,act2018_reading,act2018_science,sat2018_participation,sat2018_erw,sat2018_math,sat2018_total,sat2017_participation,sat2017_erw,sat2017_math,sat2017_total,act2017_participation,act2017_english,act2017_math,act2017_reading,act2017_science,act2017_composite
0,Alabama,100,19.1,18.9,18.3,19.6,19.0,6,595,571,1166,5,593,572,1165,100,18.9,18.4,19.7,19.4,19.2
1,Alaska,33,20.8,19.8,20.6,21.6,20.7,43,562,544,1106,38,547,533,1080,65,18.7,19.8,20.4,19.9,19.8
2,Arizona,66,19.2,18.2,19.4,19.5,19.2,29,577,572,1149,30,563,553,1116,62,18.6,19.8,20.1,19.8,19.7
3,Arkansas,100,19.4,19.1,18.9,19.7,19.4,5,592,576,1169,3,614,594,1208,100,18.9,19.0,19.7,19.5,19.4
4,California,27,22.7,22.5,22.5,23.0,22.1,60,540,536,1076,53,531,524,1055,31,22.5,22.7,23.1,22.2,22.8
5,Colorado,30,23.9,23.9,23.2,24.4,23.5,100,519,506,1025,11,606,595,1201,100,20.1,20.3,21.2,20.9,20.8
6,Connecticut,26,25.6,26.0,24.8,26.1,24.9,100,535,519,1053,100,530,512,1041,31,25.5,24.6,25.6,24.6,25.2
7,Delaware,17,23.2,23.7,23.1,24.5,23.4,100,505,492,998,100,503,492,996,18,24.1,23.4,24.8,23.6,24.1
8,District of Columbia,32,23.6,23.7,22.7,24.4,23.0,92,497,480,977,100,482,468,950,32,24.4,23.5,24.9,23.5,24.2
9,Florida,66,19.9,19.2,19.3,21.1,19.5,56,550,549,1099,83,520,497,1017,73,19.0,19.4,21.0,19.4,19.8
10,Georgia,53,21.4,20.9,20.7,21.2,21.4,70,542,522,1064,61,535,515,1050,55,21.0,20.9,22.0,21.3,21.4
11,Hawaii,89,18.9,18.2,19.0,19.1,19.0,56,480,530,1010,55,544,541,1085,90,17.8,19.2,19.2,19.3,19.0
12,Idaho,36,22.3,21.9,21.6,23.2,22.1,100,508,493,1001,93,513,493,1005,38,21.9,21.8,23.0,22.1,22.3
13,Illinois,43,23.9,24.1,23.4,24.2,23.4,99,513,506,1019,9,559,556,1115,93,21.0,21.2,21.6,21.3,21.4
14,Indiana,32,22.5,21.9,22.3,23.1,22.2,63,542,532,1074,63,542,532,1074,35,22.0,22.4,23.2,22.3,22.6
15,Iowa,68,21.8,21.0,21.2,22.5,22.0,3,634,631,1265,2,641,635,1275,67,21.2,21.3,22.6,22.1,21.9
16,Kansas,71,21.6,21.0,21.1,22.3,21.5,4,633,631,1265,4,632,628,1260,73,21.1,21.3,22.3,21.7,21.7
17,Kentucky,100,20.2,19.9,19.7,20.8,20.1,4,630,618,1248,4,631,616,1247,100,19.6,19.4,20.5,20.1,20.0
18,Louisiana,100,19.2,19.0,18.5,19.6,19.1,4,615,595,1210,4,611,586,1198,100,19.4,18.8,19.8,19.6,19.5
19,Maine,7,24.0,23.8,23.6,24.7,23.4,99,512,501,1013,95,513,499,1012,8,24.2,24.0,24.8,23.7,24.3
20,Maryland,31,22.5,22.1,22.0,23.1,22.2,76,545,535,1080,69,536,524,1060,28,23.3,23.1,24.2,23.2,23.6
21,Massachusetts,25,25.5,25.5,25.2,25.9,24.7,80,562,563,1125,76,555,551,1107,29,25.4,25.3,25.9,24.7,25.4
22,Michigan,22,24.4,24.5,23.9,24.7,23.9,100,511,499,1011,100,509,495,1005,29,24.1,23.7,24.5,23.8,24.1
23,Minnesota,99,21.3,20.2,21.4,21.7,21.4,4,643,655,1298,3,644,651,1295,100,20.4,21.5,21.8,21.6,21.5
24,Mississippi,100,18.6,18.2,18.1,18.9,18.6,3,630,606,1236,2,634,607,1242,100,18.2,18.1,18.8,18.8,18.6
25,Missouri,100,20.0,19.5,19.7,20.5,20.0,4,633,629,1262,3,640,631,1271,100,19.8,19.9,20.8,20.5,20.4
26,Montana,100,20.0,18.7,19.9,20.7,20.0,10,606,592,1198,10,605,591,1196,100,19.0,20.2,21.0,20.5,20.3
27,Nebraska,100,20.1,19.4,19.8,20.4,20.1,3,629,623,1252,3,629,625,1253,84,20.9,20.9,21.9,21.5,21.4
28,Nevada,100,17.7,16.6,17.8,18.0,17.9,23,574,566,1140,26,563,553,1116,100,16.3,18.0,18.1,18.2,17.8
29,New Hampshire,16,25.1,25.1,24.7,25.6,24.4,96,535,528,1063,96,532,520,1052,18,25.4,25.1,26.0,24.9,25.5
